vol.	page	parva	adhy.	from v.	to v.	ipage	
6	528	14	54	1	5	49a	
6	529	14	54	6	23	49b	
6	529	14	55	1	5	49b	
6	530	14	55	6	26	50a	
6	531	14	55	27	37	50b	
6	531	14	56	1	11	50b	
6	532	14	56	12	33	51a	
6	533	14	56	34	35	51b	
6	533	14	57	1	19	51b	
6	534	14	57	20	28	52a	
6	534	14	58	1	11	52a	
6	535	14	58	12	34	52b	
6	536	14	58	35	59	53a	
6	537	14	58	60	60	53b	
6	537	14	59	1	19	53b	
6	538	14	59	20	21	54a	
6	538	14	60	1	20	54a	
6	539	14	60	21	36	54b	
6	539	14	61	1	8	54b	
6	540	14	61	9	34	55a	
6	541	14	61	35	42	55b	
6	541	14	62	1	16	55b	
6	542	14	62	17	21	56a	
6	542	14	63	1	17	56a	
6	543	14	63	18	24	56b	
6	543	14	64	1	11	56b	
6	544	14	64	12	16	57a	
6	544	14	65	1	16	57a	
6	545	14	65	17	23	57b	
6	545	14	66	1	14	57b	
6	546	14	66	15	29	58a	
6	546	14	67	1	8	58a	
6	547	14	67	9	19	58b	
6	547	14	68	1	12	58b	
6	548	14	68	13	24	59a	
6	548	14	69	1	12	59a	
6	549	14	69	13	24	59b	
6	549	14	70	1	9	59b	
6	550	14	70	10	21	60a	
6	550	14	71	1	10	60a	
6	551	14	71	11	26	60b	
6	551	14	72	1	3	60b	
6	552	14	72	4	25	61a	
6	553	14	72	26	26	61b	
6	553	14	73	1	22	61b	
6	554	14	73	23	28	62a	
6	554	14	74	1	17	62a	
6	555	14	74	18	34	62b	
6	555	14	75	1	7	62b	
6	556	14	75	8	20	63a	
6	556	14	76	1	11	63a	
6	557	14	76	12	26	63b	
6	557	14	77	1	9	63b	
6	558	14	77	10	31	64a	
6	559	14	77	32	32	64b	
6	559	14	78	1	21	64b	
6	560	14	78	22	47	65a	
6	561	14	78	48	49	65b	
6	561	14	79	1	22	65b	
6	562	14	79	23	39	66a	
6	562	14	80	1	6	66a	
6	563	14	80	7	32	66b	
6	564	14	80	33	57	67a	
6	565	14	80	58	61	67b	
6	565	14	81	1	19	67b	
6	566	14	81	20	32	68a	
6	566	14	82	1	10	68a	
6	567	14	82	11	30	68b	
6	567	14	83	1	3	68b	
6	568	14	83	4	20	69a	
6	568	14	84	1	7	69a	
6	569	14	84	8	24	69b	
6	569	14	85	1	7	69b	
6	570	14	85	8	32	70a	
6	571	14	85	33	42	70b	
6	571	14	86	1	13	70b	
6	572	14	86	14	21	71a	
6	572	14	87	1	12	71a	
6	573	14	87	13	28	71b	
6	573	14	88	1	7	71b	
6	574	14	88	8	30	72a	
6	575	14	88	31	40	72b	
6	575	14	89	1	10	72b	
6	576	14	89	11	34	73a	
6	577	14	89	35	44	73b	
6	577	14	90	1	11	73b	
6	578	14	90	12	35	74a	
6	579	14	90	36	60	74b	
6	580	14	90	61	83	75a	
6	581	14	90	84	108	75b	
6	582	14	90	109	120	76a	
6	582	14	91	1	11	76a	
6	583	14	91	12	36	76b	
6	584	14	91	37	37	77a	
6	584	14	92	1	19	77a	
6	585	14	92	20	42	77b	
6	586	14	92	43	53	78a	
6	591	---	---	---	---	---	
6	592	15	1	1	19	1a	
6	593	15	1	20	27	1b	
6	593	15	2	1	14	1b	
6	594	15	2	15	30	2a	
6	594	15	3	1	7	2a	
6	595	15	3	8	31	2b	
6	596	15	3	32	56	3a	
6	597	15	3	57	80	3b	
6	598	15	3	81	87	4a	
6	598	15	4	1	16	4a	
6	599	15	4	17	22	4b	
6	599	15	5	1	15	4b	
6	600	15	5	16	38	5a	
6	601	15	5	39	43	5b	
6	601	15	6	1	13	5b	
6	602	15	6	14	20	6a	
6	602	15	7	1	12	6a	
6	603	15	7	13	23	6b	
6	603	15	8	1	11	6b	
6	604	15	8	12	24	7a	
6	604	15	9	1	10	7a	
6	605	15	9	11	18	7b	
6	605	15	10	1	14	7b	
6	606	15	10	15	40	8a	
6	607	15	10	41	53	8b	
6	607	15	11	1	9	8b	
6	608	15	11	10	25	9a	
6	608	15	12	1	6	9a	
6	609	15	12	7	13	9b	
6	609	15	13	1	15	9b	
6	610	15	14	1	18	10a	
6	610	15	15	1	4	10a	
6	611	15	15	5	13	10b	
6	611	15	16	1	10	10b	
6	612	15	16	11	32	11a	
6	613	15	17	1	21	11b	
6	613	15	18	1	2	11b	
6	614	15	18	3	25	12a	
6	615	15	19	1	18	12b	
6	615	15	20	1	4	12b	
6	616	15	20	5	29	13a	
6	617	15	20	30	38	13b	
6	617	15	21	1	14	13b	
6	618	15	21	15	16	14a	
6	618	15	22	1	21	14a	
6	619	15	22	22	26	14b	
6	619	15	23	1	18	14b	
6	620	15	24	1	20	15a	
6	620	15	25	1	3	15a	
6	621	15	25	4	19	15b	
6	622	15	26	1	24	16a	
6	623	15	26	25	38	16b	
6	623	15	27	1	5	16b	
6	624	15	27	6	26	17a	
6	624	15	28	1	2	17a	
6	625	15	28	3	25	17b	
6	626	15	29	1	24	18a	
6	627	15	29	25	48	18b	
