<L>1515<pc>1-018-c<k1>aqa<k2>°aqa	{#°aqa#}
<L>59833<pc>3-222-c<k1>niveSin<k2>°niveSin	{#°niveSin#}

<L>59845<pc>3-222-c<k1>niSa<k2>°niSa	{#°niSa#}

<L>59849<pc>3-222-c<k1>niSamaya<k2>°niSamaya	{#°niSamaya#}

<L>60067<pc>3-225-b<k1>nizeDin<k2>°nizeDin	{#°nizeDin#}

<L>60070<pc>3-225-b<k1>nizevaka<k2>°nizevaka	{#°nizevaka#}

<L>60269<pc>3-228-a<k1>nizpezam<k2>°nizpezam	{#°nizpezam#}

<L>60476<pc>3-231-a<k1>nihan<k2>°nihan	{#°nihan#}

<L>60836<pc>3-237-c<k1>nuda<k2>°nuda	{#°nuda#}

<L>61048<pc>3-240-b<k1>netrakArmaRa<k2>°netrakArmaRa	{#°netrakArmaRa#}

<L>61376<pc>3-244-a<k1>nodin<k2>°nodin	{#°nodin#}

<L>61669<pc>4-003-a<k1>pakzIya<k2>°pakzIya	{#°pakzIya#}

<L>61726<pc>4-003-c<k1>paNkin<k2>°paNkin	{#°paNkin#}

<L>63547<pc>4-034-c<k1>parAmarSin<k2>°parAmarSin	{#°parAmarSin#}

<L>63610<pc>4-035-c<k1>parAsin<k2>°parAsin	{#°parAsin#}

<L>63738<pc>4-037-c<k1>pariGAtin<k2>°pariGAtin	{#°pariGAtin#}

<L>63757<pc>4-038-a<k1>paricarcA<k2>°paricarcA	{#°paricarcA#}

<L>63844<pc>4-039-b<k1>paritAqin<k2>°paritAqin	{#°paritAqin#}

<L>63858<pc>4-039-c<k1>paritozin<k2>°paritozin	{#°paritozin#}

<L>63860<pc>4-039-c<k1>parityaj<k2>°parityaj	{#°parityaj#}

<L>63866<pc>4-039-c<k1>parityAjana<k2>°parityAjana	{#°parityAjana#}

<L>63988<pc>4-041-b<k1>paripuzwatA<k2>°paripuzwatA	{#°paripuzwatA#}

<L>64054<pc>4-042-b<k1>pariBAzin<k2>°pariBAzin	{#°pariBAzin#}

<L>64070<pc>4-042-b<k1>pariBrAmin<k2>°pariBrAmin	{#°pariBrAmin#}

